,id,osm_id,lons,lats,Straße
0,0,167223973,1013715.9147776888 1013729.0282137041 1013731.2212076726 1013750.1566530566 1013752.1604038911 1013771.4743355436 1013767.6449450603 1013764.361020082 1013760.1754072281 1013719.198702667 1013715.9147776888 ,7206837.049806371 7206839.428210805 7206829.229617655 7206816.462367636 7206819.012010544 7206806.092559841 7206799.356948899 7206802.6296179015 7206796.255525458 7206823.217020426 7206837.049806371 ,Hans-Böckler-Straße
1,1,167224003,1013465.601770691 1013463.5534920604 1013487.4871825809 1013493.1756085604 1013493.4761711855 1013495.2238871909 1013465.601770691 ,7206849.55070813 7206866.389853784 7206869.301031773 7206869.9860149855 7206867.512464777 7206853.165888902 7206849.55070813 ,Stettiner Straße
2,2,167224034,1013203.3887101273 1013233.778931114 1013238.9886832831 1013208.5984622965 1013203.3887101273 ,7206985.045014091 7206992.770219694 7206972.258483555 7206964.5332980985 7206985.045014091 ,Rüsdorfer Straße
3,3,167224035,1013705.2058426745 1013700.7307991445 1013713.5102766877 1013717.9741882683 1013705.2058426745 ,7206725.20852833 7206732.857370786 7206740.354004691 7206732.724181925 7206725.20852833 ,Neue Heimat
4,4,167224049,1013650.1694864262 1013685.8696471236 1013687.1609532168 1013651.4607925194 1013650.1694864262 ,7206835.051947202 7206837.772841243 7206820.8576480895 7206818.117732707 7206835.051947202 ,Stettiner Straße
5,5,167224056,1013653.9988769095 1013644.1582339233 1013659.6316431436 1013664.5964924331 1013669.4611541806 1013653.9988769095 ,7206893.332561822 7206922.653791772 7206927.84828453 7206913.025913167 7206898.527035217 7206893.332561822 ,Hans-Böckler-Straße
6,6,167224082,1013574.4054409923 1013568.3941884894 1013586.1385153219 1013592.1497678247 1013574.4054409923 ,7207045.419791025 7207076.016451224 7207079.4985413635 7207048.901867619 7207045.419791025 ,Hans-Böckler-Straße
7,7,167224094,1013529.9555683186 1013559.6444765131 1013562.449727681 1013532.7608194866 1013529.9555683186 ,7206822.30371492 7206826.489699363 7206806.663374596 7206802.477400712 7206822.30371492 ,Stettiner Straße
8,8,167224099,1013790.4097809275 1013781.3929021732 1013779.0106650704 1013788.0275438245 1013790.4097809275 ,7206694.993770668 7206693.395512161 7206706.847531408 7206708.445792648 7206694.993770668 ,Neue Heimat
9,9,167224102,1013668.7264455414 1013664.7857355672 1013656.6260168921 1013651.9172024316 1013664.0176310808 1013668.7264455414 ,7206740.125680707 7206737.747306303 7206732.800289844 7206740.601355674 7206747.926753806 7206740.125680707 ,Neue Heimat
10,10,167224110,1013537.5475575908 1013526.3042890204 1013525.6586359738 1013536.901904544 1013537.5475575908 ,7206967.558677704 7206966.987851277 7206979.869511131 7206980.440338494 7206967.558677704 ,Im Redder
11,11,167224112,1013495.5578456634 1013484.3145770932 1013483.6800559957 1013494.9121926168 1013495.5578456634 ,7206962.135828291 7206961.58402979 7206974.465680794 7206975.017480198 7206962.135828291 ,Im Redder
12,12,167224122,1013661.6465259269 1013673.4352600019 1013678.0772827681 1013666.2885486931 1013661.6465259269 ,7206799.1666774815 7206806.168668476 7206798.329483327 7206791.34652644 7206799.1666774815 ,Neue Heimat
13,13,167224129,1013492.2071289904 1013480.9749923695 1013480.3293393228 1013491.5726078929 1013492.2071289904 ,7206998.973222794 7206998.421421704 7207011.303133044 7207011.854935038 7206998.973222794 ,Im Redder
14,14,167224157,1013772.5652665533 1013763.5483877992 1013760.8655880709 1013769.8824668253 1013772.5652665533 ,7206730.859538087 7206729.185164401 7206743.512487105 7206745.186863837 7206730.859538087 ,Neue Heimat
15,15,167224164,1013785.856813754 1013805.916585995 1013812.8851861187 1013792.6695665907 1013785.856813754 ,7206656.0458254665 7206664.741075455 7206647.198370907 7206639.188103425 7206656.0458254665 ,Hans-Böckler-Straße
16,16,167224165,1013499.9327016516 1013488.7005650306 1013488.054911984 1013499.2981805541 1013499.9327016516 ,7206921.968803972 7206921.397980849 7206934.279566029 7206934.850390089 7206921.968803972 ,Im Redder
17,17,167224180,1013709.1799484957 1013706.6307321567 1013715.692138707 1013718.2413550462 1013709.1799484957 ,7206680.057677044 7206693.737996097 7206695.431389127 7206681.75106712 7206680.057677044 ,Neue Heimat
18,18,167224183,1013535.488147011 1013524.2448784409 1013523.5992253942 1013534.8424939644 1013535.488147011 ,7206925.051249539 7206924.499453641 7206937.381043903 7206937.93284071 7206925.051249539 ,Im Redder
19,19,167224186,1013501.7360774024 1013490.5039407815 1013489.8582877348 1013501.1015563048 1013501.7360774024 ,7206883.837910532 7206883.286117526 7206896.167640282 7206896.719434197 7206883.837910532 ,Im Redder
20,20,167224216,1013528.7867136652 1013517.5434450951 1013516.9089239975 1013528.1410606187 1013528.7867136652 ,7207043.288684797 7207042.717852871 7207055.599636769 7207056.170469632 7207043.288684797 ,Im Redder
21,21,167224222,1013492.129205347 1013480.8859367769 1013480.2402837303 1013491.4835523003 1013492.129205347 ,7207040.681886003 7207040.111054264 7207052.992833891 7207053.563666567 7207040.681886003 ,Im Redder
22,22,167224224,1013539.0948985126 1013527.8516299427 1013527.2059768959 1013538.449245466 1013539.0948985126 ,7206886.40660264 7206885.854809451 7206898.736336412 7206899.288130507 7206886.40660264 ,Im Redder
23,23,167224250,1013617.5640075728 1013616.1279861416 1013646.362359841 1013647.7983812722 1013631.8796940888 1013617.5640075728 ,7206867.645655919 7206884.770250531 7206887.319915589 7206870.195315424 7206868.863403641 7206867.645655919 ,Stettiner Straße
24,24,167224262,1013604.0052935942 1013598.8066733741 1013617.7755146053 1013620.3692587407 1013622.9852667744 1013604.0052935942 ,7207022.929038356 7207050.880753364 7207054.400887895 7207040.415497855 7207026.354021919 7207022.929038356 ,Hans-Böckler-Straße
25,25,167224270,1013568.3719245913 1013580.2051864626 1013580.2942420553 1013581.7413954355 1013569.9192655133 1013568.3719245913 ,7206991.742728859 7206992.199391438 7206989.858996002 7206952.526928868 7206952.070268587 7206991.742728859 ,Hans-Böckler-Straße
26,26,167224278,1013612.120484473 1013628.1950189436 1013631.2563049403 1013633.304583571 1013635.7202165212 1013616.5621321556 1013612.120484473 ,7206995.510195919 7206998.288228342 7206998.8019741755 7206986.567221487 7206972.144318194 7206968.947688856 7206995.510195919 ,Hans-Böckler-Straße
