,id,lons,lats
0,0,1013772.5458101244 1013509.6854567417 1013386.1915944732 1013405.511309375 1013517.581688767 1013699.0747781399 ,7206514.20039923 7206711.3556848625 7206796.931600459 7206822.824828314 7206839.980093828 7206858.898984771 
1,1,1013386.1915944732 1013273.2528592288 1013230.5656430499 1013274.3762070229 ,7206796.931600459 7206820.286893024 7206836.575436039 7206638.866224264 
2,2,1013618.4289972613 1013693.3429955026 1013703.1231001421 1013720.4386952412 1013782.1655851783 ,7206850.481681598 7206720.25397679 7206709.67222423 7206707.587939634 7206719.933317622 
3,3,1013517.5015239747 1013503.8672788712 ,7206840.020176226 7207064.949291378 
4,4,1013772.5558307234 1013862.8514484542 1013920.169274824 1013841.2871193719 ,7206514.190378631 7206453.024642239 7206493.988851015 7206684.62072669 
5,5,1013699.0346957436 1013544.1917450732 ,7206858.898984772 7207321.688537509 
6,6,1013230.592069134 1013206.7153152844 ,7206836.569861861 7206932.325445495 
7,7,1013547.9413111579 1013469.200423379 1013117.9910667775 ,7207322.93839287 7207345.435789379 7207252.946492623 
8,8,1013866.6544283585 1013915.3987874598 1013894.1512463131 1013767.9158547944 1013461.7012912096 ,7206451.789205856 7206380.547450246 7206351.80077693 7206285.558442767 7206205.567699626 
9,9,1013755.4173011787 1013415.4566428313 1013359.2131515606 ,7206504.2831310425 7206420.542821817 7206750.504637272 
10,10,1013381.710548069 1013284.2218298664 ,7206615.520258223 7206598.02228316 
11,11,1013587.9366827281 1013165.4855705171 1013202.9812313643 ,7207179.205026291 7207092.965006342 7206935.483230785 
