cycle;name;location.x;location.y;location.z;name;type;id;color;line;connected;momentToConnect;neighbors;connected_neighbors;individual_chance_to_connect
764;;614.1351259734598;521.8579176018014;0.0;;MFH;167223973;rgb (0, 255, 0,255);nil;true;128;[];[];0.005
764;;351.08791135893745;476.08029243086156;0.0;;MFH;167224003;rgb (0, 255, 0,255);nil;true;36;[building(19),building(138),building(67)];[building(67),building(138),building(19)];0.15500000000000003
764;;89.19025601929752;360.0795322977938;0.0;;SOZ;167224034;rgb (0, 255, 0,255);nil;true;139;[];[];0.005
764;;577.3568360077334;605.9452647238504;0.0;;RH;167224035;rgb (0, 255, 0,255);nil;true;23;[building(154),building(171),building(152),building(150)];[building(154),building(171),building(150),building(152)];0.20500000000000002
764;;536.6667791354703;510.7812438455876;0.0;;MFH;167224049;rgb (0, 255, 0,255);nil;true;54;[building(12)];[building(12)];0.055
764;;526.3708394320914;427.653768854402;0.0;;MFH;167224056;rgb (0, 255, 0,255);nil;true;20;[building(133),building(23)];[building(23),building(133)];0.10500000000000001
764;;448.27353747110465;276.2721233482007;0.0;;MFH;167224082;rgb (0, 255, 0,255);nil;true;5;[building(24)];[building(24)];0.055
764;;414.2042073139164;524.2477387597319;0.0;;MFH;167224094;rgb (0, 255, 0,255);nil;true;4;[];[];0.005
764;;652.711782312952;637.8106344346888;0.0;;RH;167224099;rgb (0, 255, 0,255);nil;true;69;[building(166),building(165),building(164)];[building(165),building(164),building(166)];0.15500000000000003
764;;529.2161656167358;598.8910088891164;0.0;;RH;167224102;rgb (0, 255, 0,255);nil;true;12;[building(170),building(151),building(149),building(153)];[building(153),building(151),building(149),building(170)];0.20500000000000002
764;;399.6046560962277;365.0171915043611;0.0;;DHH;167224110;rgb (0, 255, 0,255);nil;true;86;[building(139),building(141)];[building(141),building(139)];0.10500000000000001
764;;357.61772715640836;370.43053138884716;0.0;;DHH;167224112;rgb (0, 255, 0,255);nil;true;87;[building(148),building(140)];[building(148),building(140)];0.10500000000000001
764;;537.8634636616043;539.9784472258762;0.0;;RH;167224122;rgb (0, 255, 0,255);nil;true;41;[building(167),building(4),building(169),building(162)];[building(169),building(4),building(162),building(167)];0.20500000000000002
764;;354.27257645793725;333.593108010944;0.0;;DHH;167224129;rgb (0, 255, 0,255);nil;true;96;[building(142),building(140)];[building(142),building(140)];0.10500000000000001
764;;634.7169866262702;601.5452727996744;0.0;;RH;167224157;rgb (0, 255, 0,255);nil;true;10;[building(154),building(159),building(156)];[building(156),building(159),building(154)];0.15500000000000003
764;;667.3335974286892;686.937942342367;0.0;;MFH;167224164;rgb (0, 255, 0,255);nil;true;553;[];[];0.005
764;;361.9981491190847;410.60710092121735;0.0;;DHH;167224165;rgb (0, 255, 0,255);nil;true;80;[building(146),building(148)];[building(148),building(146)];0.10500000000000001
764;;580.4376029155392;650.9867538092658;0.0;;RH;167224180;rgb (0, 255, 0,255);nil;true;26;[building(161),building(160),building(163),building(84)];[building(84),building(163),building(161),building(160)];0.20500000000000002
764;;397.5452455166669;407.51513920817524;0.0;;DHH;167224183;rgb (0, 255, 0,255);nil;true;24;[building(139),building(147)];[building(147),building(139)];0.10500000000000001
764;;363.8015248698939;448.72851052181795;0.0;;DHH;167224186;rgb (0, 255, 0,255);nil;true;53;[building(1),building(138),building(146)];[building(1),building(138),building(146)];0.15500000000000003
764;;390.8465951582184;289.28712513879873;0.0;;DHH;167224216;rgb (0, 255, 0,255);nil;true;7;[building(143),building(145)];[building(145),building(143)];0.10500000000000001
764;;354.18630385264987;291.8939259746112;0.0;;DHH;167224222;rgb (0, 255, 0,255);nil;true;130;[building(144),building(142)];[building(142),building(144)];0.10500000000000001
764;;401.15199701828533;446.15981640364043;0.0;;DHH;167224224;rgb (0, 255, 0,255);nil;true;11;[building(147),building(137),building(29)];[building(137),building(147),building(29)];0.15500000000000003
764;;499.948045097338;462.9723779341206;0.0;;MFH;167224250;rgb (0, 255, 0,255);nil;true;6;[building(5)];[building(5)];0.055
764;;480.78996073189194;299.73524627890436;0.0;;MFH;167224262;rgb (0, 255, 0,255);nil;true;6;[building(132),building(6)];[building(6),building(132)];0.10500000000000001
764;;444.1079621256795;363.0516234062612;0.0;;SON;167224270;rgb (0, 255, 0,255);nil;true;31;[];[];0.005
764;;494.1946827482122;352.02134832693264;0.0;;MFH;167224278;rgb (0, 255, 0,255);nil;true;36;[building(132),building(133)];[building(132),building(133)];0.10500000000000001
764;;494.6358789968537;550.2578522881493;0.0;;RH;167224312;rgb (0, 255, 0,255);nil;true;54;[building(168),building(157)];[building(168),building(157)];0.10500000000000001
764;;400.733435732848;327.1275138972327;0.0;;DHH;167224313;rgb (0, 255, 0,255);nil;true;33;[building(143),building(141)];[building(143),building(141)];0.10500000000000001
764;;428.72806127767547;469.8184067506343;0.0;;MFH;167224338;rgb (0, 255, 0,255);nil;true;18;[building(22),building(137),building(136)];[building(137),building(22),building(136)];0.15500000000000003
764;;244.61770962172054;354.5098073885643;0.0;;SON;167224347;rgb (0, 255, 0,255);nil;true;30;[];[];0.005
764;;304.5013229035798;49.74951395061281;0.0;;SON;167228812;rgb (0, 255, 0,255);nil;true;45;[building(47),building(44),building(42),building(37),building(43)];[building(42),building(37),building(47),building(43),building(44)];0.255
764;;79.58338396379258;85.70186725934036;0.0;;MFH;167228814;rgb (0, 255, 0,255);nil;true;44;[building(46),building(50)];[building(50),building(46)];0.10500000000000001
764;;31.931962734949774;126.88933117464185;0.0;;SON;167228816;rgb (0, 255, 0,255);nil;true;8;[building(35),building(50),building(38),building(36)];[building(36),building(38),building(35),building(50)];0.20500000000000002
764;;183.28862158686388;49.324551943922415;0.0;;MFH;167228819;rgb (0, 255, 0,255);nil;true;13;[building(45),building(48)];[building(45),building(48)];0.10500000000000001
764;;28.646367964160163;103.0080318315886;0.0;;SOZ;167228820;rgb (0, 255, 0,255);nil;true;18;[building(33),building(50),building(36),building(38)];[building(36),building(33),building(38),building(50)];0.20500000000000002
764;;14.233276893617585;106.32845290540718;0.0;;M-MG;167228822;rgb (0, 255, 0,255);nil;true;6;[building(50),building(35),building(33),building(38)];[building(33),building(38),building(35),building(50)];0.20500000000000002
764;;335.19798171063303;27.9557130781468;0.0;;M-MG;167228823;rgb (0, 255, 0,255);nil;true;45;[building(47),building(43),building(51),building(31),building(44)];[building(31),building(47),building(43),building(44),building(51)];0.255
764;;51.740152926626614;131.74911576770245;0.0;;SON;167228829;rgb (0, 255, 0,255);nil;true;14;[building(50),building(33),building(36),building(35)];[building(36),building(33),building(35),building(50)];0.20500000000000002
764;;226.88411716884002;37.12738530035131;0.0;;MFH;167228831;rgb (0, 255, 0,255);nil;true;9;[building(41),building(49),building(45)];[building(41),building(45),building(49)];0.15500000000000003
764;;373.491329946043;86.38212971892207;0.0;;SON;167228832;rgb (0, 255, 0,255);nil;true;81;[building(52)];[building(52)];0.055
764;;230.74412051204126;60.88899614289403;0.0;;SON;167228834;rgb (0, 255, 0,255);nil;true;1;[building(45),building(49),building(39)];[building(39),building(45),building(49)];0.15500000000000003
764;;266.0524366017664;33.10668897088617;0.0;;MFH;167228837;rgb (0, 255, 0,255);nil;true;36;[building(31),building(47),building(49)];[building(49),building(31),building(47)];0.15500000000000003
764;;326.9575564047089;15.600575135089457;0.0;;M-MG;167228839;rgb (0, 255, 0,255);nil;true;46;[building(31),building(37),building(47),building(44)];[building(31),building(37),building(47),building(44)];0.20500000000000002
764;;325.1504700041066;37.89168317771206;0.0;;SON;167228840;rgb (0, 255, 0,255);nil;true;49;[building(31),building(37),building(47),building(51),building(43)];[building(31),building(37),building(47),building(43),building(51)];0.255
764;;208.09505691525993;43.149858228117225;0.0;;MFH;167228843;rgb (0, 255, 0,255);nil;true;11;[building(34),building(41),building(39)];[building(41),building(39),building(34)];0.15500000000000003
764;;119.05542007424326;80.04572092679639;0.0;;MFH;167228844;rgb (0, 255, 0,255);nil;true;33;[building(32),building(53)];[building(53),building(32)];0.10500000000000001
764;;298.2148638818908;27.318254267796874;0.0;;SON;167228845;rgb (0, 255, 0,255);nil;true;45;[building(37),building(31),building(42),building(43),building(44)];[building(42),building(31),building(37),building(43),building(44)];0.255
764;;162.449612910316;55.917865864466876;0.0;;M-MG;167228846;rgb (0, 255, 0,255);nil;true;16;[building(34),building(53)];[building(34),building(53)];0.10500000000000001
764;;251.59797178728817;41.20261803564305;0.0;;MFH;167228847;rgb (0, 255, 0,255);nil;true;12;[building(39),building(41),building(42)];[building(41),building(39),building(42)];0.15500000000000003
764;;53.608836112097684;100.41226766553397;0.0;;MFH;167228848;rgb (0, 255, 0,255);nil;true;27;[building(36),building(32),building(33),building(35),building(38)];[building(36),building(33),building(38),building(35),building(32)];0.255
764;;366.69861461779027;47.951340100262314;0.0;;EIK;167228849;rgb (0, 255, 0,255);nil;true;50;[building(44),building(37),building(52)];[building(37),building(44),building(52)];0.15500000000000003
764;expert;396.8612490899007;52.81408895417634;0.0;expert;EIK;167228850;rgb (0, 255, 0,255);nil;true;77;[building(51),building(40)];[building(51),building(40)];0.10500000000000001
764;;149.44749638566282;66.12125910073519;0.0;;MFH;167228856;rgb (0, 255, 0,255);nil;true;17;[building(48),building(46)];[building(48),building(46)];0.10500000000000001
764;;428.7443881363198;1052.093775156442;0.0;;EFH;167317584;rgb (0, 255, 0,255);nil;true;68;[building(93)];[building(93)];0.055
764;;562.3537516360811;932.1703440919518;0.0;;EFH;167317588;rgb (0, 255, 0,255);nil;true;373;[building(64)];[building(64)];0.055
764;;328.46036953033763;620.9670473062433;0.0;;SON;167317590;rgb (0, 255, 0,255);nil;true;73;[building(73),building(104)];[building(73),building(104)];0.10500000000000001
