cycle,name,location.x,location.y,location.z,name,type,id,color,line,connected,momentToConnect,neighbors,connected_neighbors,individual_chance_to_connect
764,,614.13512597346,521.857917601801,0,,MFH,167223973,"rgb (0, 255, 0,255)",nil,true,128,[],[],0.005
764,,351.087911358937,476.080292430862,0,,MFH,167224003,"rgb (0, 255, 0,255)",nil,true,36,"[building(19),building(138),building(67)]","[building(67),building(138),building(19)]",0.155
764,,89.1902560192975,360.079532297794,0,,SOZ,167224034,"rgb (0, 255, 0,255)",nil,true,139,[],[],0.005
764,,577.356836007733,605.94526472385,0,,RH,167224035,"rgb (0, 255, 0,255)",nil,true,23,"[building(154),building(171),building(152),building(150)]","[building(154),building(171),building(150),building(152)]",0.205
764,,536.66677913547,510.781243845588,0,,MFH,167224049,"rgb (0, 255, 0,255)",nil,true,54,[building(12)],[building(12)],0.055
764,,526.370839432091,427.653768854402,0,,MFH,167224056,"rgb (0, 255, 0,255)",nil,true,20,"[building(133),building(23)]","[building(23),building(133)]",0.105
764,,448.273537471105,276.272123348201,0,,MFH,167224082,"rgb (0, 255, 0,255)",nil,true,5,[building(24)],[building(24)],0.055
764,,414.204207313916,524.247738759732,0,,MFH,167224094,"rgb (0, 255, 0,255)",nil,true,4,[],[],0.005
764,,652.711782312952,637.810634434689,0,,RH,167224099,"rgb (0, 255, 0,255)",nil,true,69,"[building(166),building(165),building(164)]","[building(165),building(164),building(166)]",0.155
764,,529.216165616736,598.891008889116,0,,RH,167224102,"rgb (0, 255, 0,255)",nil,true,12,"[building(170),building(151),building(149),building(153)]","[building(153),building(151),building(149),building(170)]",0.205
764,,399.604656096228,365.017191504361,0,,DHH,167224110,"rgb (0, 255, 0,255)",nil,true,86,"[building(139),building(141)]","[building(141),building(139)]",0.105
764,,357.617727156408,370.430531388847,0,,DHH,167224112,"rgb (0, 255, 0,255)",nil,true,87,"[building(148),building(140)]","[building(148),building(140)]",0.105
764,,537.863463661604,539.978447225876,0,,RH,167224122,"rgb (0, 255, 0,255)",nil,true,41,"[building(167),building(4),building(169),building(162)]","[building(169),building(4),building(162),building(167)]",0.205
764,,354.272576457937,333.593108010944,0,,DHH,167224129,"rgb (0, 255, 0,255)",nil,true,96,"[building(142),building(140)]","[building(142),building(140)]",0.105
764,,634.71698662627,601.545272799674,0,,RH,167224157,"rgb (0, 255, 0,255)",nil,true,10,"[building(154),building(159),building(156)]","[building(156),building(159),building(154)]",0.155
764,,667.333597428689,686.937942342367,0,,MFH,167224164,"rgb (0, 255, 0,255)",nil,true,553,[],[],0.005
764,,361.998149119085,410.607100921217,0,,DHH,167224165,"rgb (0, 255, 0,255)",nil,true,80,"[building(146),building(148)]","[building(148),building(146)]",0.105
764,,580.437602915539,650.986753809266,0,,RH,167224180,"rgb (0, 255, 0,255)",nil,true,26,"[building(161),building(160),building(163),building(84)]","[building(84),building(163),building(161),building(160)]",0.205
764,,397.545245516667,407.515139208175,0,,DHH,167224183,"rgb (0, 255, 0,255)",nil,true,24,"[building(139),building(147)]","[building(147),building(139)]",0.105
764,,363.801524869894,448.728510521818,0,,DHH,167224186,"rgb (0, 255, 0,255)",nil,true,53,"[building(1),building(138),building(146)]","[building(1),building(138),building(146)]",0.155
764,,390.846595158218,289.287125138799,0,,DHH,167224216,"rgb (0, 255, 0,255)",nil,true,7,"[building(143),building(145)]","[building(145),building(143)]",0.105
764,,354.18630385265,291.893925974611,0,,DHH,167224222,"rgb (0, 255, 0,255)",nil,true,130,"[building(144),building(142)]","[building(142),building(144)]",0.105
764,,401.151997018285,446.15981640364,0,,DHH,167224224,"rgb (0, 255, 0,255)",nil,true,11,"[building(147),building(137),building(29)]","[building(137),building(147),building(29)]",0.155
764,,499.948045097338,462.972377934121,0,,MFH,167224250,"rgb (0, 255, 0,255)",nil,true,6,[building(5)],[building(5)],0.055
764,,480.789960731892,299.735246278904,0,,MFH,167224262,"rgb (0, 255, 0,255)",nil,true,6,"[building(132),building(6)]","[building(6),building(132)]",0.105
764,,444.10796212568,363.051623406261,0,,SON,167224270,"rgb (0, 255, 0,255)",nil,true,31,[],[],0.005
764,,494.194682748212,352.021348326933,0,,MFH,167224278,"rgb (0, 255, 0,255)",nil,true,36,"[building(132),building(133)]","[building(132),building(133)]",0.105
764,,494.635878996854,550.257852288149,0,,RH,167224312,"rgb (0, 255, 0,255)",nil,true,54,"[building(168),building(157)]","[building(168),building(157)]",0.105
764,,400.733435732848,327.127513897233,0,,DHH,167224313,"rgb (0, 255, 0,255)",nil,true,33,"[building(143),building(141)]","[building(143),building(141)]",0.105
764,,428.728061277675,469.818406750634,0,,MFH,167224338,"rgb (0, 255, 0,255)",nil,true,18,"[building(22),building(137),building(136)]","[building(137),building(22),building(136)]",0.155
764,,244.617709621721,354.509807388564,0,,SON,167224347,"rgb (0, 255, 0,255)",nil,true,30,[],[],0.005
764,,304.50132290358,49.7495139506128,0,,SON,167228812,"rgb (0, 255, 0,255)",nil,true,45,"[building(47),building(44),building(42),building(37),building(43)]","[building(42),building(37),building(47),building(43),building(44)]",0.255
764,,79.5833839637926,85.7018672593404,0,,MFH,167228814,"rgb (0, 255, 0,255)",nil,true,44,"[building(46),building(50)]","[building(50),building(46)]",0.105
764,,31.9319627349498,126.889331174642,0,,SON,167228816,"rgb (0, 255, 0,255)",nil,true,8,"[building(35),building(50),building(38),building(36)]","[building(36),building(38),building(35),building(50)]",0.205
764,,183.288621586864,49.3245519439224,0,,MFH,167228819,"rgb (0, 255, 0,255)",nil,true,13,"[building(45),building(48)]","[building(45),building(48)]",0.105
764,,28.6463679641602,103.008031831589,0,,SOZ,167228820,"rgb (0, 255, 0,255)",nil,true,18,"[building(33),building(50),building(36),building(38)]","[building(36),building(33),building(38),building(50)]",0.205
